Vaisala Hum,SGS Temp,SGS RAW
28.4,24,56352
28.5,24.1,56353
28.5,24.1,56357
28.7,24.1,56359
28.8,24.1,56360
28.9,24.1,56360
29,24.1,56360
29,24,56360
29.2,24,56360
29.3,23.9,56361
29.4,24,56360
29.4,24,56360
29.5,24,56360
29.6,24,56360
29.7,24,56360
29.7,24.1,56360
29.8,24.1,56361
29.9,24.1,56361
29.9,24,56361
30,24,56361
30.1,24,56361
30.1,24,56363
30.1,24.1,56365
30.2,24.1,56366
30.2,24.1,56368
30.3,24.1,56369
30.4,24.1,56370
30.4,24.1,56370
30.4,24.1,56371
30.6,24.1,56373
30.7,24.1,56373
30.8,24.1,56374
30.8,24.1,56372
30.9,24.2,56373
31,24.1,56372
31.1,24.1,56372
31.2,24.1,56374
31.2,24.1,56376
31.3,24.1,56376
31.4,24.2,56377
31.4,24.2,56378
31.5,24.2,56378
31.7,24.2,56379
31.8,24.2,56382
31.9,24.2,56383
32,24.1,56384
32,24.1,56385
32.2,24.1,56387
32.4,24.2,56388
32.4,24.2,56390
32.5,24.2,56391
32.7,24.1,56393
32.8,24.1,56395
32.8,24.2,56398
33.1,24.1,56400
33.2,24.1,56401
33.4,24.1,56401
33.5,24.3,56403
33.8,24.3,56404
33.8,24.2,56404
34,24.1,56403
34.2,24.1,56404
34.4,24.1,56405
34.5,24.2,56407
34.6,24.3,56409
34.8,24.3,56411
35,24.3,56412
35.1,24.3,56415
35.3,24.3,56417
35.5,24.3,56419
35.5,24.3,56419
35.7,24.3,56421
35.9,24.3,56423
36,24.3,56424
36.1,24.4,56426
36.3,24.4,56428
36.4,24.3,56429
36.6,24.2,56429
36.7,24.2,56429
36.8,24.3,56431
37,24.3,56433
37.1,24.4,56434
37.3,24.4,56434
37.6,24.4,56436
37.7,24.4,56438
37.9,24.3,56440
38.2,24.3,56442
38.3,24.3,56445
38.5,24.3,56446
38.6,24.3,56448
38.6,24.3,56448
39.1,24.3,56451
39.2,24.3,56452
39.4,24.3,56453
39.5,24.4,56454
39.5,24.3,56456
40,24.3,56458
40.1,24.4,56459
40.2,24.4,56462
40.6,24.4,56463
40.7,24.4,56464
40.9,24.3,56464
41,24.3,56464
41.1,24.3,56466
41.3,24.4,56468
41.3,24.4,56470
41.6,24.5,56471
41.8,24.4,56472
42,24.4,56475
42.2,24.4,56476
42.3,24.5,56478
42.4,24.4,56479
42.5,24.4,56479
42.6,24.4,56481
42.8,24.4,56482
42.9,24.4,56483
43,24.4,56485
43,24.4,56485
43.2,24.4,56486
43.3,24.4,56487
43.4,24.4,56487
43.5,24.4,56488
43.6,24.5,56489
43.6,24.4,56490
43.8,24.4,56490
43.9,24.4,56491
44,24.5,56491
44,24.5,56492
44.1,24.5,56493
44.2,24.5,56494
44.2,24.4,56496
44.3,24.4,56497
44.4,24.5,56498
44.4,24.5,56499
44.4,24.5,56500
44.6,24.5,56501
44.6,24.5,56501
44.8,24.5,56502
44.8,24.5,56503
45,24.5,56504
45,24.5,56505
45.1,24.5,56506
45.1,24.5,56507
45.2,24.5,56508
45.3,24.5,56509
45.4,24.5,56510
45.4,24.5,56511
45.6,24.6,56511
45.7,24.5,56513
45.8,24.5,56514
45.8,24.5,56514
45.9,24.6,56515
46,24.6,56516
46,24.6,56517
46.1,24.6,56518
46.2,24.5,56519
46.3,24.5,56520
46.4,24.6,56521
46.5,24.5,56522
46.5,24.6,56522
46.6,24.6,56523
46.7,24.6,56524
46.8,24.6,56525
46.9,24.6,56527
46.9,24.7,56528
47,24.7,56529
47.1,24.6,56530
47.3,24.6,56532
47.4,24.6,56533
47.5,24.6,56534
47.6,24.6,56536
47.7,24.7,56537
47.8,24.7,56538
47.8,24.8,56539
48,24.8,56541
48.1,24.7,56542
48.2,24.7,56543
48.4,24.7,56543
48.4,24.6,56543
48.5,24.6,56543
48.6,24.6,56543
48.7,24.6,56543
48.7,24.7,56543
48.8,24.7,56543
48.9,24.7,56543
49,24.6,56543
49,24.7,56543
49.1,24.7,56544
49.2,24.8,56545
49.4,24.8,56546
49.4,24.8,56548
49.5,24.8,56549
49.6,24.8,56550
49.7,24.8,56551
49.8,24.8,56553
49.8,24.8,56554
49.9,24.7,56555
50.1,24.7,56556
50.2,24.8,56557
50.3,24.8,56558
50.3,24.8,56558
50.4,24.8,56559
50.5,24.8,56558
50.5,24.7,56559
50.6,24.7,56560
50.7,24.8,56559
50.7,24.8,56560
50.7,24.8,56559
50.8,24.8,56560
50.8,24.8,56561
50.8,24.7,56562
50.9,24.8,56562
50.9,24.8,56563
50.9,24.9,56564
51,24.8,56566
51,24.9,56567
51.1,24.9,56567
51.1,24.9,56569
51.2,24.8,56569
51.3,24.8,56570
51.4,24.8,56571
51.5,24.8,56573
51.5,24.8,56573
51.6,24.8,56573
51.6,24.9,56573
51.6,25,56573
51.7,25,56574
51.7,24.9,56575
51.7,24.9,56575
51.7,24.9,56575
51.7,24.9,56576
51.7,24.8,56576
51.7,24.8,56575
51.7,24.9,56576
51.8,25,56576
51.8,25,56579
51.8,25,56579
51.8,25,56579
51.8,24.9,56579
51.9,24.9,56580
51.9,24.9,56580
51.9,24.9,56581
52,25,56583
52,24.9,56584
52.1,24.9,56586
52.1,24.9,56587
52.2,24.9,56587
52.2,24.9,56587
52.2,25,56587
52.3,25,56588
52.3,25,56589
52.3,25,56589
52.4,25,56590
52.4,24.9,56590
52.5,24.9,56590
52.5,24.9,56591
52.5,25,56591
52.5,25,56592
52.6,25,56593
52.6,25,56592
52.6,25,56592
52.7,25,56592
52.7,25,56592
52.8,24.9,56593
52.8,24.9,56593
52.9,24.9,56594
52.9,24.9,56595
52.9,25,56596
53,25,56596
53,25.1,56596
53,25,56596
53.1,25,56596
53.1,25,56596
53.1,25,56597
53.2,25,56598
53.2,25,56599
53.2,25,56600
53.3,25,56601
53.3,25.1,56601
53.4,25,56601
53.4,25,56601
53.5,25,56602
53.5,25.1,56605
53.5,25.1,56605
53.6,25.1,56604
53.6,25.1,56604
53.6,25,56605
53.6,25,56605
53.7,25.1,56605
53.7,25.1,56604
53.7,25.1,56604
53.7,25.1,56603
53.7,25.2,56604
53.7,25.2,56605
53.8,25.2,56605
53.8,25.1,56607
53.8,25,56607
53.8,25,56608
53.9,25.1,56609
53.9,25.1,56609
54,25.1,56610
54,25,56609
54,25,56609
54.1,25.1,56610
54.1,25.1,56611
54.1,25.1,56612
54.2,25.1,56613
54.2,25.2,56613
54.2,25.1,56613
54.3,25.1,56613
54.3,25.1,56613
54.4,25.1,56614
54.4,25.1,56615
54.5,25.1,56616
54.5,25.1,56617
54.5,25.1,56618
54.6,25.1,56618
54.6,25.1,56619
54.6,25.1,56619
54.7,25.2,56620
54.7,25.1,56620
54.8,25.1,56620
54.8,25,56619
54.9,25.1,56620
54.9,25.1,56621
55,25.2,56622
55,25.1,56623
55.1,25.2,56624
55.1,25.2,56625
55.2,25.2,56626
55.3,25.2,56626
55.3,25.1,56624
55.3,25.1,56624
55.4,25.2,56624
55.5,25.2,56624
55.5,25.3,56625
55.5,25.2,56625
55.5,25.2,56626
55.5,25.2,56627
55.5,25.2,56627
55.5,25.1,56627
55.5,25.2,56627
55.5,25.2,56627
55.5,25.2,56627
55.5,25.1,56628
55.4,25.1,56627
55.4,25.2,56628
55.4,25.2,56628
55.4,25.2,56627
55.4,25.2,56626
55.4,25.1,56626
55.3,25.2,56626
55.3,25.2,56626
55.3,25.2,56626
55.2,25.2,56624
55.2,25.2,56625
55.2,25.1,56626
55.2,25.2,56626
55.1,25.2,56626
55.1,25.2,56624
55,25.2,56624
54.9,25.2,56624
54.9,25.2,56624
54.8,25.2,56623
54.7,25.2,56622
54.7,25.2,56622
54.6,25.2,56621
54.6,25.3,56621
54.5,25.3,56621
54.4,25.3,56621
54.3,25.2,56621
54.3,25.1,56621
54.2,25.2,56620
54.2,25.2,56618
54.1,25.3,56619
54.1,25.3,56617
54,25.3,56618
54,25.3,56618
53.9,25.3,56618
53.9,25.3,56619
53.8,25.2,56618
53.8,25.3,56617
53.8,25.2,56618
53.7,25.3,56618
53.7,25.2,56618
53.7,25.2,56618
53.7,25.2,56617
53.7,25.2,56617
53.7,25.2,56618
53.7,25.2,56618
53.6,25.3,56618
53.6,25.3,56618
53.6,25.3,56619
53.6,25.2,56618
53.6,25.2,56618
53.6,25.2,56617
53.6,25.2,56618
53.6,25.3,56618
53.6,25.3,56618
53.6,25.3,56618
53.6,25.2,56618
53.6,25.2,56617
